"ID","PeopleID","ProductionID","RoleID","subRole","SystemID","timestamp"
97,4682,500,1703,"",2,2021-01-31 08:34:05.000
98,4683,500,1704,"",2,2021-01-31 08:34:06.000
99,4683,500,1704,"",2,2021-01-31 08:34:06.000
100,4708,500,1695,"",2,2021-01-31 08:34:06.000
101,4708,500,1695,"",2,2021-01-31 08:34:06.000
102,4709,500,1695,"",2,2021-01-31 08:34:07.000
103,4709,500,1695,"",2,2021-01-31 08:34:07.000
104,4710,500,1695,"",2,2021-01-31 08:34:07.000
105,4710,500,1695,"",2,2021-01-31 08:34:07.000
106,4711,500,1695,"",2,2021-01-31 08:34:08.000
107,4711,500,1695,"",2,2021-01-31 08:34:08.000
108,4712,500,1695,"",2,2021-01-31 08:34:09.000
109,4712,500,1695,"",2,2021-01-31 08:34:09.000
110,4713,500,1695,"",2,2021-01-31 08:34:09.000
111,4713,500,1695,"",2,2021-01-31 08:34:09.000
112,4714,501,1715,"",2,2021-01-31 08:34:33.000
113,4714,501,1715,"",2,2021-01-31 08:34:33.000
114,4715,501,1690,"",2,2021-01-31 08:34:34.000
115,4715,501,1690,"",2,2021-01-31 08:34:34.000
116,4716,501,1713,"",2,2021-01-31 08:34:34.000
117,4716,501,1713,"",2,2021-01-31 08:34:34.000
118,4717,502,1716,"",2,2021-01-31 08:36:28.000
119,4717,502,1716,"",2,2021-01-31 08:36:28.000
120,4718,502,1717,"",2,2021-01-31 08:36:29.000
121,4718,502,1717,"",2,2021-01-31 08:36:29.000
122,4719,503,1695,"",2,2021-01-31 08:36:38.000
123,4719,503,1695,"",2,2021-01-31 08:36:38.000
124,4720,503,1695,"",2,2021-01-31 08:36:38.000
125,4720,503,1695,"",2,2021-01-31 08:36:38.000
126,4721,503,1695,"",2,2021-01-31 08:36:39.000
127,4721,503,1695,"",2,2021-01-31 08:36:39.000
128,4722,503,1695,"",2,2021-01-31 08:36:40.000
129,4722,503,1695,"",2,2021-01-31 08:36:40.000
130,4723,503,1695,"",2,2021-01-31 08:36:40.000
131,4723,503,1695,"",2,2021-01-31 08:36:40.000
132,4724,503,1695,"",2,2021-01-31 08:36:41.000
133,4724,503,1695,"",2,2021-01-31 08:36:41.000
134,4725,503,1695,Συγγραφέας,2,2021-01-31 08:36:41.000
135,4725,503,1695,Συγγραφέας,2,2021-01-31 08:36:41.000
136,4726,503,1695,Σκηνικά ,2,2021-01-31 08:36:42.000
137,4726,503,1695,Σκηνικά ,2,2021-01-31 08:36:42.000
138,4728,504,1695,Σκηνοθεσία Φωτισμοί Ερμηνεία,2,2023-09-25 13:21:46.000
139,4728,504,1695,Σκηνοθεσία Φωτισμοί Ερμηνεία,2,2023-09-25 13:21:46.000
140,4729,504,1695,Μουσική σύνθεση,2,2021-01-31 08:36:53.000
141,4729,504,1695,Μουσική σύνθεση,2,2021-01-31 08:36:53.000
142,4730,504,1695,Μουσικός επί σκηνής,2,2021-01-31 08:36:53.000
143,4730,504,1695,Μουσικός επί σκηνής,2,2021-01-31 08:36:53.000
144,4731,504,1695,Τηλεσκηνοθεσία,2,2021-01-31 08:36:54.000
145,4731,504,1695,Τηλεσκηνοθεσία,2,2021-01-31 08:36:54.000
146,4733,505,1718,"",2,2021-01-31 08:37:05.000
147,4733,505,1718,"",2,2021-01-31 08:37:05.000
148,4734,505,1710,"",2,2021-01-31 08:37:05.000
149,4734,505,1710,"",2,2021-01-31 08:37:05.000
150,4735,505,1690,"",2,2021-01-31 08:37:06.000
151,4735,505,1690,"",2,2021-01-31 08:37:06.000
152,4736,505,1693,"",2,2021-01-31 08:37:07.000
153,4736,505,1693,"",2,2021-01-31 08:37:07.000
154,4737,505,1719,"",2,2021-01-31 08:37:07.000
155,4737,505,1719,"",2,2021-01-31 08:37:07.000
156,4735,505,1720,"",2,2021-01-31 08:37:08.000
157,4735,505,1720,"",2,2021-01-31 08:37:08.000
158,4738,505,1721,"",2,2021-01-31 08:37:09.000
159,4738,505,1721,"",2,2021-01-31 08:37:09.000
160,4683,505,1722,"",2,2021-01-31 08:37:09.000
161,4683,505,1722,"",2,2021-01-31 08:37:09.000
162,4739,505,1723,"",2,2021-01-31 08:37:10.000
163,4739,505,1723,"",2,2021-01-31 08:37:10.000
164,4740,505,1724,"",2,2021-01-31 08:37:11.000
165,4740,505,1724,"",2,2021-01-31 08:37:11.000
166,4673,507,1696,"",2,2021-01-31 08:37:56.000
167,4673,507,1696,"",2,2021-01-31 08:37:56.000
168,4674,507,1697,"",2,2021-01-31 08:37:56.000
169,4674,507,1697,"",2,2021-01-31 08:37:56.000
170,4675,507,1698,"",2,2021-01-31 08:37:57.000
171,4675,507,1698,"",2,2021-01-31 08:37:57.000
172,4676,507,1699,"",2,2021-01-31 08:37:57.000
173,4676,507,1699,"",2,2021-01-31 08:37:57.000
174,4677,507,1700,"",2,2021-01-31 08:37:58.000
175,4677,507,1700,"",2,2021-01-31 08:37:58.000
176,4678,507,1693,"",2,2021-01-31 08:37:58.000
177,4678,507,1693,"",2,2021-01-31 08:37:58.000
178,4679,507,1694,"",2,2021-01-31 08:37:59.000
179,4679,507,1694,"",2,2021-01-31 08:37:59.000
180,4742,507,1725,"",2,2021-01-31 08:38:02.000
181,4742,507,1725,"",2,2021-01-31 08:38:02.000
182,4743,507,1726,"",2,2021-01-31 08:38:03.000
183,4743,507,1726,"",2,2021-01-31 08:38:03.000
184,4744,507,1727,"",2,2021-01-31 08:38:04.000
185,4744,507,1727,"",2,2021-01-31 08:38:04.000
186,4745,507,1728,"",2,2021-01-31 08:38:04.000
187,4745,507,1728,"",2,2021-01-31 08:38:04.000
188,4746,507,1729,"",2,2021-01-31 08:38:05.000
189,4746,507,1729,"",2,2021-01-31 08:38:05.000
190,4682,507,1703,"",2,2021-01-31 08:38:05.000
191,4682,507,1703,"",2,2021-01-31 08:38:05.000
192,4683,507,1704,"",2,2021-01-31 08:38:06.000
193,4683,507,1704,"",2,2021-01-31 08:38:06.000
194,4684,507,1695,"",2,2021-01-31 08:38:06.000
195,4684,507,1695,"",2,2021-01-31 08:38:06.000
196,4685,507,1695,"",2,2021-01-31 08:38:07.000
197,4685,507,1695,"",2,2021-01-31 08:38:07.000
198,4686,507,1695,"",2,2021-01-31 08:38:07.000
199,4686,507,1695,"",2,2021-01-31 08:38:07.000
200,4687,507,1695,"",2,2021-01-31 08:38:08.000
201,4687,507,1695,"",2,2021-01-31 08:38:08.000
202,4688,507,1695,"",2,2021-01-31 08:38:08.000
203,4688,507,1695,"",2,2021-01-31 08:38:08.000
204,4689,507,1695,"",2,2021-01-31 08:38:08.000
205,4689,507,1695,"",2,2021-01-31 08:38:08.000
206,4690,507,1695,"",2,2021-01-31 08:38:09.000
207,4690,507,1695,"",2,2021-01-31 08:38:09.000
208,4691,507,1695,"",2,2021-01-31 08:38:09.000
209,4691,507,1695,"",2,2021-01-31 08:38:09.000
210,4703,508,1696,"",2,2021-01-31 08:38:42.000
211,4703,508,1696,"",2,2021-01-31 08:38:42.000
212,4704,508,1690,"",2,2021-01-31 08:38:42.000
213,4704,508,1690,"",2,2021-01-31 08:38:42.000
214,4675,508,1698,"",2,2021-01-31 08:38:43.000
215,4675,508,1698,"",2,2021-01-31 08:38:43.000
216,4677,508,1691,"",2,2021-01-31 08:38:43.000
217,4677,508,1691,"",2,2021-01-31 08:38:43.000
218,4705,508,1692,"",2,2021-01-31 08:38:44.000
219,4705,508,1692,"",2,2021-01-31 08:38:44.000
220,4678,508,1693,"",2,2021-01-31 08:38:44.000
221,4678,508,1693,"",2,2021-01-31 08:38:44.000
222,4706,508,1714,"",2,2021-01-31 08:38:45.000
223,4706,508,1714,"",2,2021-01-31 08:38:45.000
224,4707,508,1694,"",2,2021-01-31 08:38:45.000
225,4707,508,1694,"",2,2021-01-31 08:38:45.000
226,4742,508,1725,"",2,2021-01-31 08:38:46.000
227,4742,508,1725,"",2,2021-01-31 08:38:46.000
228,4745,508,1728,"",2,2021-01-31 08:38:47.000
229,4745,508,1728,"",2,2021-01-31 08:38:47.000
230,4746,508,1729,"",2,2021-01-31 08:38:47.000
231,4746,508,1729,"",2,2021-01-31 08:38:47.000
232,4682,508,1703,"",2,2021-01-31 08:38:48.000
233,4682,508,1703,"",2,2021-01-31 08:38:48.000
234,4683,508,1704,"",2,2021-01-31 08:38:48.000
235,4683,508,1704,"",2,2021-01-31 08:38:48.000
236,4708,508,1695,"",2,2021-01-31 08:38:48.000
237,4708,508,1695,"",2,2021-01-31 08:38:48.000
238,4709,508,1695,"",2,2021-01-31 08:38:49.000
239,4709,508,1695,"",2,2021-01-31 08:38:49.000
240,4710,508,1695,"",2,2021-01-31 08:38:49.000
241,4710,508,1695,"",2,2021-01-31 08:38:49.000
242,4711,508,1695,"",2,2021-01-31 08:38:50.000
243,4711,508,1695,"",2,2021-01-31 08:38:50.000
244,4712,508,1695,"",2,2021-01-31 08:38:50.000
245,4712,508,1695,"",2,2021-01-31 08:38:50.000
246,4713,508,1695,"",2,2021-01-31 08:38:50.000
247,4713,508,1695,"",2,2021-01-31 08:38:50.000
248,4747,509,1690,"",2,2021-01-31 08:39:03.000
249,4747,509,1690,"",2,2021-01-31 08:39:03.000
250,4748,509,1690,"",2,2021-01-31 08:39:03.000
251,4748,509,1690,"",2,2021-01-31 08:39:03.000
252,4749,509,1690,"",2,2021-01-31 08:39:04.000
253,4749,509,1690,"",2,2021-01-31 08:39:04.000
254,4750,509,1691,"",2,2021-01-31 08:39:04.000
255,4750,509,1691,"",2,2021-01-31 08:39:04.000
