"ID","Role","SystemID","timestamp"
1782,Σκηνοθεσία παράστασης 2016,2,2021-01-31 10:15:06.000
1783,Σκηνοθεσία παράστασης για το streaming 2020,2,2021-01-31 10:15:07.000
1784,Κινηματογραφική σκηνοθεσία / μοντάζ,2,2021-01-31 10:15:08.000
1785,Παίζουν οι ηθοποιοί,2,2021-01-31 10:15:09.000
1786,Τραγούδι,2,2021-01-31 10:15:14.000
1787,Κάμερες,2,2021-01-31 10:15:15.000
1788,Ηχοληψία,2,2021-01-31 10:15:17.000
1881,Κάμερες - Μοντάζ,2,2021-03-05 17:27:24.000
1789,Σκηνογραφική επιμέλεια παράστασης για το streaming 2020,2,2021-01-31 10:15:18.000
1790,Ροή παράστασης/βιντεοσκόπησης,2,2021-01-31 10:15:19.000
1791,"Τεχνική επεξεργασία βίντεο, ηλεκτρολογική επιμέλεια, επεξεργασία φωτογραφιών",2,2021-01-31 10:15:20.000
1792,"Βίντεο, επεξεργασία 2016, επιμέλεια εκφωνήσεων",2,2021-01-31 10:15:21.000
1793,Iδέα/σκηνοθεσία,2,2021-01-31 10:15:32.000
1794,Καλλιτεχνικός συνεργάτης,2,2021-01-31 10:15:33.000
1795,Καλλιτεχνική επιμέλεια,2,2021-01-31 10:15:36.000
1796,Ηχητικό τοπίο,2,2021-01-31 10:15:37.000
1797,Βοηθός Παραγωγής,2,2021-01-31 10:15:37.000
1798,Σχεδιασμός Φωτισμού,2,2021-01-31 10:15:38.000
1799,Συνθέτης/Συγγραφέας,2,2021-01-31 10:15:51.000
1800,Θεατρική Διασκευή/Σκηνοθεσία,2,2021-01-31 10:15:52.000
1801,Βοηθοί Καραγκιοζοπαίκτη,2,2021-01-31 10:16:07.000
1802,Βιντεοσκόπηση,2,2021-01-31 10:16:08.000
1803,Κείμενο/ Σκηνοθεσία,2,2021-01-31 10:16:45.000
1804,Σχεδιασμός σκηνικού και φώτων,2,2021-01-31 10:16:47.000
1805,Ενδυματολογία,2,2021-01-31 10:16:47.000
1806,Επιμέλεια Κίνησης,2,2021-01-31 10:16:48.000
1807,Διασκευή-Σκηνοθεσία,2,2023-09-25 13:21:50.000
1808,Σκηνικό,2,2023-09-25 13:21:50.000
1809,Kίνηση,2,2023-09-25 13:21:50.000
1810,Ενορχήστρωση,2,2023-09-25 13:21:50.000
1811,Διδασκαλία τραγουδιών,2,2023-09-25 13:21:50.000
1812,Μουσική τραγουδιού φινάλε,2,2021-01-31 10:17:18.000
1813,Ειδικές κατασκευές,2,2023-09-25 13:21:50.000
1814,Φωτισμοί - Μουσική Επιμέλεια,2,2023-09-25 13:21:50.000
1815,Φωτογραφίες-trailer,2,2023-09-25 13:21:50.000
1816,Διεύθυνση Επικοινωνίας & Marketing,2,2023-09-25 13:21:50.000
1817,Γραφείο Τύπου Αθηναϊκά Θέατρα,2,2023-09-25 13:21:50.000
1818,"Μουσική, Σύνθεση ήχων",2,2021-01-31 10:18:57.000
1819,Σκηνοθεσία – μουσική επιμέλεια,2,2021-01-31 10:19:24.000
1820,Βοηθοί σκηνοθέτη,2,2021-01-31 10:19:27.000
1821,Επιμέλεια σκηνικού,2,2021-01-31 10:20:52.000
1822,Δραματουργική επεξεργασία - Σκηνοθεσία,2,2023-09-25 13:21:50.000
1823,Ερμηνεύουν,2,2021-01-31 10:22:11.000
1824,Κατασκευή σκηνικών,2,2021-01-31 10:22:14.000
1825,Κατασκευή κοστουμιών και περουκών,2,2021-01-31 10:22:14.000
1826,Φωτογραφία αφίσας,2,2021-01-31 10:22:16.000
1827,Αφηγητής,2,2021-01-31 10:22:44.000
1828,"Κείμενα, σκηνοθεσία",2,2021-01-31 10:22:45.000
1829,Μετάφραση / Διασκευή,2,2021-01-31 10:23:12.000
1830,Τραγούδι Παράστασης,2,2021-01-31 10:23:15.000
1831,Σχεδιασμός οπτικού υλικού,2,2021-01-31 10:23:18.000
1832,Υπεύθυνη Παραγωγής,2,2021-01-31 10:23:20.000
1833,Κείμενο- Σκηνοθεσία,2,2021-01-31 10:24:39.000
1834,Κινησιολογία,2,2021-01-31 10:24:41.000
1835,Σκηνικά- Κοστούμια,2,2021-01-31 10:24:44.000
1836,Σχεδιασμός Αφίσας,2,2021-01-31 10:24:46.000
1837,Υπεύθυνη επικοινωνίας,2,2021-01-31 10:24:47.000
1838,Βοηθός σκηνικών,2,2021-01-31 10:25:35.000
1839,Φωτογραφίες - poster,2,2021-01-31 10:25:36.000
1840,Τεχνικός υπεύθυνος –φώτα,2,2021-01-31 10:25:37.000
1841,Ταμείο- επικοινωνία,2,2021-01-31 10:25:38.000
1842,Υπεύθυνος επικοινωνίας,2,2021-01-31 10:28:29.000
1843,"Κείμενο, Σκηνοθεσία",2,2021-01-31 10:28:47.000
1844,Εικαστική διαμόρφωση,2,2021-01-31 10:28:48.000
1845,Μουσική επί σκηνής,2,2021-01-31 10:28:49.000
1846,Γυναίκα,2,2021-01-31 10:28:49.000
1847,Σκηνοθεσία – κοστούμια,2,2023-09-25 13:21:50.000
1848,Κείμενα,2,2021-01-31 10:29:25.000
1849,Σκηνοθεσία | Εικαστική σύνθεση | Φωτισμοί,2,2021-01-31 10:29:26.000
1850,Εικαστική εγκατάσταση,2,2021-01-31 10:29:26.000
1851,Χορογραφία | Επιμέλεια κίνησης,2,2021-01-31 10:29:27.000
1852,Επιμέλεια κίνησης των street performers,2,2021-01-31 10:29:28.000
1853,Σχεδιασμός κοστουμιών,2,2021-01-31 10:29:29.000
1854,Video-Animation | 3D mapping,2,2021-01-31 10:29:31.000
1855,Β’ Βοηθοί σκηνοθέτη,2,2021-01-31 10:29:32.000
1856,Επιμέλεια-Διασκευή,2,2023-09-25 13:21:50.000
1857,Προσαρμογή διαλόγων,2,2023-09-25 13:21:50.000
1858,Σκηνογραφία - Κούκλες,2,2023-09-25 13:21:50.000
1859,Μουσική πρωτότυπη,2,2023-09-25 13:21:50.000
1860,Μουσική – ηχητική επιμέλεια,2,2023-09-25 13:21:50.000
1861,Τρέιλερ παράστασης,2,2023-09-25 13:21:50.000
1862,Επικοινωνία και προβολή της παράστασης,2,2023-09-25 13:21:50.000
1863,Μετάφραση από τα Ισπανικά,2,2023-09-25 13:21:50.000
1864,Στίχοι,2,2023-09-25 13:21:50.000
1865,Κινηματογραφηση παραστασης,2,2023-09-25 13:21:50.000
1866,Διασκευή Σκηνοθεσία,2,2021-03-05 17:25:22.000
1867,Σκηνικά – Κοστούμια,2,2021-03-05 17:25:34.000
1868,Φώτα,2,2021-03-05 17:25:35.000
1869,Βοηθός σκηνοθέτη &Κίνηση,2,2021-03-05 17:26:23.000
1870,Σκηνικό & Κοστούμια,2,2021-03-05 17:26:24.000
1871,- Προλογίζουν οι ηθοποιοί,2,2023-09-25 13:21:50.000
1872,- Βοηθοί σκηνής,2,2023-09-25 13:21:50.000
1873,- Τραγούδι,2,2023-09-25 13:21:50.000
1874,- ΜΟΥΣΙΚΗ ΕΠΙΜΕΛΕΙΑ,2,2023-09-25 13:21:50.000
1875,- Σκηνοθεσία,2,2023-09-25 13:21:50.000
1876,- Κάμερες,2,2023-09-25 13:21:50.000
1877,- Μοντάζ,2,2023-09-25 13:21:50.000
1878,-Υπεύθυνη παραγωγής,2,2023-09-25 13:21:50.000
1879,- Δημόσιες σχέσεις / επικοινωνία,2,2023-09-25 13:21:50.000
1880,Σενάριο – σύλληψη,2,2021-03-05 17:27:23.000
1882,Σενάριο,2,2021-03-05 17:27:36.000
1883,Σκηνικό- κοστούμια,2,2021-03-05 17:27:36.000
1884,Χορογραφία,2,2021-03-05 17:27:37.000
1885,Σχεδιασμός Ήχου,2,2021-03-05 17:27:39.000
1886,Συνεργάτης Σκηνογράφος,2,2021-03-05 17:27:39.000
1887,Video,2,2021-03-05 17:27:40.000
1888,Βοηθοί σκηνοθέτες,2,2023-09-25 13:21:50.000
1889,Βοηθός σκηνοθέτη,2,2023-09-25 13:21:50.000
